location,date,vaccine,total_vaccinations
Argentina,12/29/2020,Oxford/AstraZeneca,1
Argentina,12/29/2020,Sinopharm/Beijing,1
Argentina,12/29/2020,Sputnik V,20487
Argentina,12/30/2020,Sputnik V,40589
Argentina,12/31/2020,Sputnik V,43395
Argentina,1/1/2021,Oxford/AstraZeneca,3
Argentina,1/1/2021,Sputnik V,43520
Argentina,1/2/2021,Oxford/AstraZeneca,4
Argentina,1/2/2021,Pfizer/BioNTech,1
Argentina,1/2/2021,Sputnik V,46830
Argentina,1/3/2021,Pfizer/BioNTech,2
Argentina,1/3/2021,Sputnik V,47273
Argentina,1/4/2021,Sputnik V,57734
Argentina,1/5/2021,Sinopharm/Beijing,5
Argentina,1/5/2021,Sputnik V,68459
Argentina,1/6/2021,Oxford/AstraZeneca,5
Argentina,1/6/2021,Pfizer/BioNTech,3
Argentina,1/6/2021,Sinopharm/Beijing,8
Argentina,1/6/2021,Sputnik V,78566
Argentina,1/7/2021,Oxford/AstraZeneca,6
Argentina,1/7/2021,Pfizer/BioNTech,4
Argentina,1/7/2021,Sinopharm/Beijing,9
Argentina,1/7/2021,Sputnik V,96789
Argentina,1/8/2021,Sputnik V,124678
Argentina,1/9/2021,Pfizer/BioNTech,5
Argentina,1/9/2021,Sinopharm/Beijing,10
Argentina,1/9/2021,Sputnik V,134885
Argentina,1/10/2021,Pfizer/BioNTech,7
Argentina,1/10/2021,Sinopharm/Beijing,11
Argentina,1/10/2021,Sputnik V,136059
Argentina,1/11/2021,Oxford/AstraZeneca,7
Argentina,1/11/2021,Sinopharm/Beijing,13
Argentina,1/11/2021,Sputnik V,155881
Argentina,1/12/2021,Oxford/AstraZeneca,9
Argentina,1/12/2021,Pfizer/BioNTech,8
Argentina,1/12/2021,Sinopharm/Beijing,16
Argentina,1/12/2021,Sputnik V,175267
Argentina,1/13/2021,Oxford/AstraZeneca,10
Argentina,1/13/2021,Sinopharm/Beijing,20
Argentina,1/13/2021,Sputnik V,192035
Argentina,1/14/2021,Pfizer/BioNTech,9
Argentina,1/14/2021,Sinopharm/Beijing,21
Argentina,1/14/2021,Sputnik V,208686
Argentina,1/15/2021,Sputnik V,226131
Argentina,1/16/2021,Sputnik V,232015
Argentina,1/17/2021,Sputnik V,233077
Argentina,1/18/2021,Pfizer/BioNTech,10
Argentina,1/18/2021,Sputnik V,242908
Argentina,1/19/2021,Sinopharm/Beijing,22
Argentina,1/19/2021,Sputnik V,256157
Argentina,1/20/2021,Sputnik V,275585
Argentina,1/21/2021,Oxford/AstraZeneca,15
Argentina,1/21/2021,Sinopharm/Beijing,24
Argentina,1/21/2021,Sputnik V,289697
Argentina,1/22/2021,Oxford/AstraZeneca,18
Argentina,1/22/2021,Sinopharm/Beijing,25
Argentina,1/22/2021,Sputnik V,298912
Argentina,1/23/2021,Oxford/AstraZeneca,23
Argentina,1/23/2021,Sputnik V,302852
Argentina,1/24/2021,Oxford/AstraZeneca,24
Argentina,1/24/2021,Sputnik V,303154
Argentina,1/25/2021,Oxford/AstraZeneca,32
Argentina,1/25/2021,Sputnik V,317361
Argentina,1/26/2021,Oxford/AstraZeneca,70
Argentina,1/26/2021,Sinopharm/Beijing,26
Argentina,1/26/2021,Sputnik V,330137
Argentina,1/27/2021,Oxford/AstraZeneca,72
Argentina,1/27/2021,Sputnik V,340243
Argentina,1/28/2021,Sputnik V,356290
Argentina,1/29/2021,Oxford/AstraZeneca,73
Argentina,1/29/2021,Sputnik V,379792
Argentina,1/30/2021,Sputnik V,389106
Argentina,1/31/2021,Sinopharm/Beijing,27
Argentina,1/31/2021,Sputnik V,389729
Argentina,2/1/2021,Oxford/AstraZeneca,92
Argentina,2/1/2021,Sputnik V,409237
Argentina,2/2/2021,Oxford/AstraZeneca,125
Argentina,2/2/2021,Sputnik V,433083
Argentina,2/3/2021,Oxford/AstraZeneca,133
Argentina,2/3/2021,Sinopharm/Beijing,30
Argentina,2/3/2021,Sputnik V,459689
Argentina,2/4/2021,Oxford/AstraZeneca,138
Argentina,2/4/2021,Sinopharm/Beijing,53
Argentina,2/4/2021,Sputnik V,487798
Argentina,2/5/2021,CanSino,2
Argentina,2/5/2021,Oxford/AstraZeneca,143
Argentina,2/5/2021,Sinopharm/Beijing,60
Argentina,2/5/2021,Sputnik V,520828
Argentina,2/6/2021,Sinopharm/Beijing,64
Argentina,2/6/2021,Sputnik V,531753
Argentina,2/7/2021,Sinopharm/Beijing,68
Argentina,2/7/2021,Sputnik V,533132
Argentina,2/8/2021,Oxford/AstraZeneca,145
Argentina,2/8/2021,Sinopharm/Beijing,69
Argentina,2/8/2021,Sputnik V,556558
Argentina,2/9/2021,Oxford/AstraZeneca,147
Argentina,2/9/2021,Sinopharm/Beijing,75
Argentina,2/9/2021,Sputnik V,576749
Argentina,2/10/2021,Oxford/AstraZeneca,150
Argentina,2/10/2021,Sinopharm/Beijing,80
Argentina,2/10/2021,Sputnik V,592368
Argentina,2/11/2021,Oxford/AstraZeneca,153
Argentina,2/11/2021,Sinopharm/Beijing,86
Argentina,2/11/2021,Sputnik V,610215
Argentina,2/12/2021,Oxford/AstraZeneca,154
Argentina,2/12/2021,Sinopharm/Beijing,87
Argentina,2/12/2021,Sputnik V,626054
Argentina,2/13/2021,Oxford/AstraZeneca,156
Argentina,2/13/2021,Sinopharm/Beijing,89
Argentina,2/13/2021,Sputnik V,629086
Argentina,2/14/2021,Sinopharm/Beijing,91
Argentina,2/14/2021,Sputnik V,629236
Argentina,2/15/2021,Pfizer/BioNTech,11
Argentina,2/15/2021,Sinopharm/Beijing,93
Argentina,2/15/2021,Sputnik V,630551
Argentina,2/16/2021,Oxford/AstraZeneca,168
Argentina,2/16/2021,Pfizer/BioNTech,12
Argentina,2/16/2021,Sinopharm/Beijing,95
Argentina,2/16/2021,Sputnik V,631849
Argentina,2/17/2021,Oxford/AstraZeneca,179
Argentina,2/17/2021,Sinopharm/Beijing,98
Argentina,2/17/2021,Sputnik V,656246
Argentina,2/18/2021,Oxford/AstraZeneca,210
Argentina,2/18/2021,Pfizer/BioNTech,13
Argentina,2/18/2021,Sinopharm/Beijing,102
Argentina,2/18/2021,Sputnik V,720040
Argentina,2/19/2021,Oxford/AstraZeneca,394
Argentina,2/19/2021,Sinopharm/Beijing,103
Argentina,2/19/2021,Sputnik V,787753
Argentina,2/20/2021,Oxford/AstraZeneca,542
Argentina,2/20/2021,Sinopharm/Beijing,104
Argentina,2/20/2021,Sputnik V,820225
Argentina,2/21/2021,Oxford/AstraZeneca,943
Argentina,2/21/2021,Sputnik V,840004
Argentina,2/22/2021,Oxford/AstraZeneca,23543
Argentina,2/22/2021,Sputnik V,884981
Argentina,2/23/2021,Oxford/AstraZeneca,73739
Argentina,2/23/2021,Sinopharm/Beijing,106
Argentina,2/23/2021,Sputnik V,921741
Argentina,2/24/2021,Oxford/AstraZeneca,135808
Argentina,2/24/2021,Sinopharm/Beijing,109
Argentina,2/24/2021,Sputnik V,953491
Argentina,2/25/2021,Moderna,56
Argentina,2/25/2021,Oxford/AstraZeneca,188966
Argentina,2/25/2021,Sinopharm/Beijing,113
Argentina,2/25/2021,Sputnik V,979806
Argentina,2/26/2021,Oxford/AstraZeneca,245023
Argentina,2/26/2021,Sinopharm/Beijing,122
Argentina,2/26/2021,Sputnik V,1005440
Argentina,2/27/2021,Oxford/AstraZeneca,258368
Argentina,2/27/2021,Sinopharm/Beijing,123
Argentina,2/27/2021,Sputnik V,1009998
Argentina,2/28/2021,Oxford/AstraZeneca,263718
Argentina,2/28/2021,Sinopharm/Beijing,124
Argentina,2/28/2021,Sputnik V,1010775
Argentina,3/1/2021,Oxford/AstraZeneca,317040
Argentina,3/1/2021,Sinopharm/Beijing,826
Argentina,3/1/2021,Sputnik V,1031320
Argentina,3/2/2021,Oxford/AstraZeneca,368687
Argentina,3/2/2021,Sinopharm/Beijing,5784
Argentina,3/2/2021,Sputnik V,1050347
Argentina,3/3/2021,Oxford/AstraZeneca,404654
Argentina,3/3/2021,Sinopharm/Beijing,23613
Argentina,3/3/2021,Sputnik V,1068031
Argentina,3/4/2021,Oxford/AstraZeneca,430370
Argentina,3/4/2021,Sinopharm/Beijing,87920
Argentina,3/4/2021,Sputnik V,1090093
Argentina,3/5/2021,Oxford/AstraZeneca,454667
Argentina,3/5/2021,Sinopharm/Beijing,154433
Argentina,3/5/2021,Sputnik V,1111036
Argentina,3/6/2021,Oxford/AstraZeneca,462583
Argentina,3/6/2021,Sinopharm/Beijing,196858
Argentina,3/6/2021,Sputnik V,1115637
Argentina,3/7/2021,Oxford/AstraZeneca,467557
Argentina,3/7/2021,Sinopharm/Beijing,203301
Argentina,3/7/2021,Sputnik V,1116014
Argentina,3/8/2021,Oxford/AstraZeneca,499137
Argentina,3/8/2021,Pfizer/BioNTech,14
Argentina,3/8/2021,Sinopharm/Beijing,256244
Argentina,3/8/2021,Sputnik V,1133993
Argentina,3/9/2021,Oxford/AstraZeneca,515477
Argentina,3/9/2021,Sinopharm/Beijing,319356
Argentina,3/9/2021,Sputnik V,1170353
Argentina,3/10/2021,Oxford/AstraZeneca,527564
Argentina,3/10/2021,Sinopharm/Beijing,418094
Argentina,3/10/2021,Sputnik V,1223509
Argentina,3/11/2021,Oxford/AstraZeneca,537507
Argentina,3/11/2021,Sinopharm/Beijing,502986
Argentina,3/11/2021,Sputnik V,1315530
Argentina,3/12/2021,Oxford/AstraZeneca,545030
Argentina,3/12/2021,Sinopharm/Beijing,564128
Argentina,3/12/2021,Sputnik V,1408542
Argentina,3/13/2021,Oxford/AstraZeneca,548005
Argentina,3/13/2021,Sinopharm/Beijing,574634
Argentina,3/13/2021,Sputnik V,1441454
Argentina,3/14/2021,Oxford/AstraZeneca,548054
Argentina,3/14/2021,Sinopharm/Beijing,581291
Argentina,3/14/2021,Sputnik V,1443920
Argentina,3/15/2021,Oxford/AstraZeneca,554476
Argentina,3/15/2021,Sinopharm/Beijing,621910
Argentina,3/15/2021,Sputnik V,1534508
Argentina,3/16/2021,Oxford/AstraZeneca,557601
Argentina,3/16/2021,Sinopharm/Beijing,656585
Argentina,3/16/2021,Sputnik V,1630456
Argentina,3/17/2021,Oxford/AstraZeneca,560312
Argentina,3/17/2021,Sinopharm/Beijing,679552
Argentina,3/17/2021,Sputnik V,1744366
Argentina,3/18/2021,Moderna,57
Argentina,3/18/2021,Oxford/AstraZeneca,561997
Argentina,3/18/2021,Sinopharm/Beijing,701699
Argentina,3/18/2021,Sputnik V,1859498
Argentina,3/19/2021,Oxford/AstraZeneca,563844
Argentina,3/19/2021,Pfizer/BioNTech,15
Argentina,3/19/2021,Sinopharm/Beijing,725303
Argentina,3/19/2021,Sputnik V,1960250
Argentina,3/20/2021,Oxford/AstraZeneca,564185
Argentina,3/20/2021,Sinopharm/Beijing,729241
Argentina,3/20/2021,Sputnik V,2006851
Argentina,3/21/2021,CanSino,3
Argentina,3/21/2021,Oxford/AstraZeneca,564208
Argentina,3/21/2021,Sinopharm/Beijing,729590
Argentina,3/21/2021,Sputnik V,2026110
Argentina,3/22/2021,Oxford/AstraZeneca,565679
Argentina,3/22/2021,Sinopharm/Beijing,746988
Argentina,3/22/2021,Sputnik V,2090310
Argentina,3/23/2021,Oxford/AstraZeneca,570368
Argentina,3/23/2021,Sinopharm/Beijing,760547
Argentina,3/23/2021,Sputnik V,2178546
Argentina,3/24/2021,Oxford/AstraZeneca,571646
Argentina,3/24/2021,Sinopharm/Beijing,763688
Argentina,3/24/2021,Sputnik V,2211595
Argentina,3/25/2021,Oxford/AstraZeneca,572997
Argentina,3/25/2021,Sinopharm/Beijing,774592
Argentina,3/25/2021,Sputnik V,2302539
Argentina,3/26/2021,Oxford/AstraZeneca,575649
Argentina,3/26/2021,Sinopharm/Beijing,783764
Argentina,3/26/2021,Sputnik V,2384288
Argentina,3/27/2021,Oxford/AstraZeneca,576540
Argentina,3/27/2021,Sinopharm/Beijing,786072
Argentina,3/27/2021,Sputnik V,2436183
Argentina,3/28/2021,Oxford/AstraZeneca,577442
Argentina,3/28/2021,Pfizer/BioNTech,17
Argentina,3/28/2021,Sinopharm/Beijing,786547
Argentina,3/28/2021,Sputnik V,2455632
Argentina,3/29/2021,Oxford/AstraZeneca,581027
Argentina,3/29/2021,Pfizer/BioNTech,18
Argentina,3/29/2021,Sinopharm/Beijing,798050
Argentina,3/29/2021,Sputnik V,2560740
Argentina,3/30/2021,Oxford/AstraZeneca,583900
Argentina,3/30/2021,Pfizer/BioNTech,19
Argentina,3/30/2021,Sinopharm/Beijing,808550
Argentina,3/30/2021,Sputnik V,2710402
Argentina,3/31/2021,Oxford/AstraZeneca,603841
Argentina,3/31/2021,Sinopharm/Beijing,820562
Argentina,3/31/2021,Sputnik V,2853422
Argentina,4/1/2021,Oxford/AstraZeneca,629412
Argentina,4/1/2021,Sinopharm/Beijing,824325
Argentina,4/1/2021,Sputnik V,2941236
Argentina,4/2/2021,Oxford/AstraZeneca,642234
Argentina,4/2/2021,Sinopharm/Beijing,826646
Argentina,4/2/2021,Sputnik V,2994257
Argentina,4/3/2021,Oxford/AstraZeneca,660877
Argentina,4/3/2021,Sinopharm/Beijing,827737
Argentina,4/3/2021,Sputnik V,3048999
Argentina,4/4/2021,Moderna,58
Argentina,4/4/2021,Oxford/AstraZeneca,675270
Argentina,4/4/2021,Sinopharm/Beijing,829399
Argentina,4/4/2021,Sputnik V,3081431
Argentina,4/5/2021,Oxford/AstraZeneca,709097
Argentina,4/5/2021,Sinopharm/Beijing,858531
Argentina,4/5/2021,Sputnik V,3184478
Argentina,4/6/2021,Oxford/AstraZeneca,735556
Argentina,4/6/2021,Sinopharm/Beijing,933681
Argentina,4/6/2021,Sputnik V,3276895
Argentina,4/7/2021,Oxford/AstraZeneca,765793
Argentina,4/7/2021,Sinopharm/Beijing,1051991
Argentina,4/7/2021,Sputnik V,3366799
Argentina,4/8/2021,Oxford/AstraZeneca,789887
Argentina,4/8/2021,Pfizer/BioNTech,22
Argentina,4/8/2021,Sinopharm/Beijing,1182280
Argentina,4/8/2021,Sputnik V,3448391
Argentina,4/9/2021,Oxford/AstraZeneca,808239
Argentina,4/9/2021,Sinopharm/Beijing,1329860
Argentina,4/9/2021,Sputnik V,3522875
Argentina,4/10/2021,Oxford/AstraZeneca,813055
Argentina,4/10/2021,Sinopharm/Beijing,1383849
Argentina,4/10/2021,Sputnik V,3557018
Argentina,4/11/2021,Oxford/AstraZeneca,813921
Argentina,4/11/2021,Sinopharm/Beijing,1416706
Argentina,4/11/2021,Sputnik V,3571612
Argentina,4/12/2021,Oxford/AstraZeneca,823835
Argentina,4/12/2021,Sinopharm/Beijing,1512060
Argentina,4/12/2021,Sputnik V,3648170
Argentina,4/13/2021,Moderna,59
Argentina,4/13/2021,Oxford/AstraZeneca,832172
Argentina,4/13/2021,Sinopharm/Beijing,1594545
Argentina,4/13/2021,Sputnik V,3743433
Argentina,4/14/2021,Oxford/AstraZeneca,838612
Argentina,4/14/2021,Pfizer/BioNTech,23
Argentina,4/14/2021,Sinopharm/Beijing,1661919
Argentina,4/14/2021,Sputnik V,3841316
Argentina,4/15/2021,Oxford/AstraZeneca,842810
Argentina,4/15/2021,Sinopharm/Beijing,1713093
Argentina,4/15/2021,Sputnik V,3937060
Argentina,4/16/2021,Oxford/AstraZeneca,846093
Argentina,4/16/2021,Sinopharm/Beijing,1759201
Argentina,4/16/2021,Sputnik V,4011405
Argentina,4/17/2021,Oxford/AstraZeneca,846986
Argentina,4/17/2021,Sinopharm/Beijing,1775315
Argentina,4/17/2021,Sputnik V,4040118
Argentina,4/18/2021,Oxford/AstraZeneca,848260
Argentina,4/18/2021,Sinopharm/Beijing,1777578
Argentina,4/18/2021,Sputnik V,4056485
Argentina,4/19/2021,Oxford/AstraZeneca,863657
Argentina,4/19/2021,Pfizer/BioNTech,24
Argentina,4/19/2021,Sinopharm/Beijing,1802537
Argentina,4/19/2021,Sputnik V,4106625
Argentina,4/20/2021,Oxford/AstraZeneca,916191
Argentina,4/20/2021,Sinopharm/Beijing,1826571
Argentina,4/20/2021,Sputnik V,4152795
Argentina,4/21/2021,CanSino,4
Argentina,4/21/2021,Moderna,60
Argentina,4/21/2021,Oxford/AstraZeneca,1036473
Argentina,4/21/2021,Sinopharm/Beijing,1847783
Argentina,4/21/2021,Sputnik V,4185284
Argentina,4/22/2021,CanSino,5
Argentina,4/22/2021,Oxford/AstraZeneca,1153796
Argentina,4/22/2021,Sinopharm/Beijing,1863341
Argentina,4/22/2021,Sputnik V,4230617
Argentina,4/23/2021,Oxford/AstraZeneca,1272122
Argentina,4/23/2021,Sinopharm/Beijing,1877437
Argentina,4/23/2021,Sputnik V,4292772
Argentina,4/24/2021,Oxford/AstraZeneca,1325984
Argentina,4/24/2021,Sinopharm/Beijing,1879008
Argentina,4/24/2021,Sputnik V,4329574
Argentina,4/25/2021,Oxford/AstraZeneca,1358444
Argentina,4/25/2021,Sinopharm/Beijing,1879382
Argentina,4/25/2021,Sputnik V,4346061
Argentina,4/26/2021,Oxford/AstraZeneca,1431537
Argentina,4/26/2021,Sinopharm/Beijing,1886949
Argentina,4/26/2021,Sputnik V,4437531
Argentina,4/27/2021,Oxford/AstraZeneca,1490657
Argentina,4/27/2021,Sinopharm/Beijing,1894306
Argentina,4/27/2021,Sputnik V,4524813
Argentina,4/28/2021,Oxford/AstraZeneca,1542790
Argentina,4/28/2021,Pfizer/BioNTech,25
Argentina,4/28/2021,Sinopharm/Beijing,1922263
Argentina,4/28/2021,Sputnik V,4603734
Argentina,4/29/2021,Oxford/AstraZeneca,1581505
Argentina,4/29/2021,Sinopharm/Beijing,1962393
Argentina,4/29/2021,Sputnik V,4681172
Argentina,4/30/2021,Oxford/AstraZeneca,1612045
Argentina,4/30/2021,Sinopharm/Beijing,1998555
Argentina,4/30/2021,Sputnik V,4729428
Argentina,5/1/2021,Oxford/AstraZeneca,1617301
Argentina,5/1/2021,Sinopharm/Beijing,2002268
Argentina,5/1/2021,Sputnik V,4740763
Argentina,5/2/2021,Oxford/AstraZeneca,1623894
Argentina,5/2/2021,Sinopharm/Beijing,2016400
Argentina,5/2/2021,Sputnik V,4760217
Argentina,5/3/2021,Oxford/AstraZeneca,1647506
Argentina,5/3/2021,Pfizer/BioNTech,26
Argentina,5/3/2021,Sinopharm/Beijing,2090369
Argentina,5/3/2021,Sputnik V,4837367
Argentina,5/4/2021,Oxford/AstraZeneca,1671106
Argentina,5/4/2021,Sinopharm/Beijing,2184467
Argentina,5/4/2021,Sputnik V,4951732
Argentina,5/5/2021,Oxford/AstraZeneca,1696022
Argentina,5/5/2021,Sinopharm/Beijing,2263046
Argentina,5/5/2021,Sputnik V,5093256
Argentina,5/6/2021,Oxford/AstraZeneca,1713857
Argentina,5/6/2021,Pfizer/BioNTech,27
Argentina,5/6/2021,Sinopharm/Beijing,2327643
Argentina,5/6/2021,Sputnik V,5213651
Argentina,5/7/2021,CanSino,6
Argentina,5/7/2021,Oxford/AstraZeneca,1727815
Argentina,5/7/2021,Sinopharm/Beijing,2423756
Argentina,5/7/2021,Sputnik V,5308967
Argentina,5/8/2021,Oxford/AstraZeneca,1731872
Argentina,5/8/2021,Sinopharm/Beijing,2465377
Argentina,5/8/2021,Sputnik V,5337572
Argentina,5/9/2021,Oxford/AstraZeneca,1733611
Argentina,5/9/2021,Sinopharm/Beijing,2468878
Argentina,5/9/2021,Sputnik V,5351030
Argentina,5/10/2021,Oxford/AstraZeneca,1743535
Argentina,5/10/2021,Sinopharm/Beijing,2533033
Argentina,5/10/2021,Sputnik V,5418635
Argentina,5/11/2021,Moderna,61
Argentina,5/11/2021,Oxford/AstraZeneca,1751798
Argentina,5/11/2021,Pfizer/BioNTech,28
Argentina,5/11/2021,Sinopharm/Beijing,2597862
Argentina,5/11/2021,Sputnik V,5486000
Argentina,5/12/2021,Moderna,62
Argentina,5/12/2021,Oxford/AstraZeneca,1757577
Argentina,5/12/2021,Sinopharm/Beijing,2737214
Argentina,5/12/2021,Sputnik V,5538492
Argentina,5/13/2021,Oxford/AstraZeneca,1763272
Argentina,5/13/2021,Sinopharm/Beijing,2885927
Argentina,5/13/2021,Sputnik V,5576247
Argentina,5/14/2021,Oxford/AstraZeneca,1772466
Argentina,5/14/2021,Sinopharm/Beijing,3034261
Argentina,5/14/2021,Sputnik V,5615231
Argentina,5/15/2021,Oxford/AstraZeneca,1775545
Argentina,5/15/2021,Sinopharm/Beijing,3084706
Argentina,5/15/2021,Sputnik V,5656805
Argentina,5/16/2021,Oxford/AstraZeneca,1777020
Argentina,5/16/2021,Sinopharm/Beijing,3128016
Argentina,5/16/2021,Sputnik V,5679620
Argentina,5/17/2021,Oxford/AstraZeneca,1784319
Argentina,5/17/2021,Sinopharm/Beijing,3223760
Argentina,5/17/2021,Sputnik V,5763547
Argentina,5/18/2021,Oxford/AstraZeneca,1794110
Argentina,5/18/2021,Sinopharm/Beijing,3268700
Argentina,5/18/2021,Sputnik V,5907093
Argentina,5/19/2021,Oxford/AstraZeneca,1801458
Argentina,5/19/2021,Pfizer/BioNTech,29
Argentina,5/19/2021,Sinopharm/Beijing,3302040
Argentina,5/19/2021,Sputnik V,6034147
Argentina,5/20/2021,Oxford/AstraZeneca,1811962
Argentina,5/20/2021,Sinopharm/Beijing,3337313
Argentina,5/20/2021,Sputnik V,6170987
Argentina,5/21/2021,Oxford/AstraZeneca,1821163
Argentina,5/21/2021,Sinopharm/Beijing,3415522
Argentina,5/21/2021,Sputnik V,6260869
Argentina,5/22/2021,Oxford/AstraZeneca,1822687
Argentina,5/22/2021,Sinopharm/Beijing,3459513
Argentina,5/22/2021,Sputnik V,6315805
Argentina,5/23/2021,Oxford/AstraZeneca,1823104
Argentina,5/23/2021,Sinopharm/Beijing,3482391
Argentina,5/23/2021,Sputnik V,6337783
Argentina,5/24/2021,Oxford/AstraZeneca,1824281
Argentina,5/24/2021,Pfizer/BioNTech,30
Argentina,5/24/2021,Sinopharm/Beijing,3501880
Argentina,5/24/2021,Sputnik V,6405490
Argentina,5/25/2021,Oxford/AstraZeneca,1846359
Argentina,5/25/2021,Sinopharm/Beijing,3505059
Argentina,5/25/2021,Sputnik V,6443657
Argentina,5/26/2021,Oxford/AstraZeneca,1873178
Argentina,5/26/2021,Sinopharm/Beijing,3538642
Argentina,5/26/2021,Sputnik V,6536343
Argentina,5/27/2021,Oxford/AstraZeneca,1918635
Argentina,5/27/2021,Sinopharm/Beijing,3571891
Argentina,5/27/2021,Sputnik V,6627067
Argentina,5/28/2021,Oxford/AstraZeneca,2010988
Argentina,5/28/2021,Sinopharm/Beijing,3600792
Argentina,5/28/2021,Sputnik V,6751923
Argentina,5/29/2021,Oxford/AstraZeneca,2120909
Argentina,5/29/2021,Pfizer/BioNTech,31
Argentina,5/29/2021,Sinopharm/Beijing,3610696
Argentina,5/29/2021,Sputnik V,6859601
Argentina,5/30/2021,Oxford/AstraZeneca,2180029
Argentina,5/30/2021,Sinopharm/Beijing,3612313
Argentina,5/30/2021,Sputnik V,6927708
Argentina,5/31/2021,Oxford/AstraZeneca,2307188
Argentina,5/31/2021,Sinopharm/Beijing,3629213
Argentina,5/31/2021,Sputnik V,7082666
Argentina,6/1/2021,Oxford/AstraZeneca,2456266
Argentina,6/1/2021,Sinopharm/Beijing,3642770
Argentina,6/1/2021,Sputnik V,7234981
Argentina,6/2/2021,CanSino,7
Argentina,6/2/2021,Oxford/AstraZeneca,2619801
Argentina,6/2/2021,Sinopharm/Beijing,3655914
Argentina,6/2/2021,Sputnik V,7367679
Argentina,6/3/2021,Oxford/AstraZeneca,2842706
Argentina,6/3/2021,Sinopharm/Beijing,3668125
Argentina,6/3/2021,Sputnik V,7482231
Argentina,6/4/2021,Oxford/AstraZeneca,3147777
Argentina,6/4/2021,Sinopharm/Beijing,3683981
Argentina,6/4/2021,Sputnik V,7569505
Argentina,6/5/2021,Oxford/AstraZeneca,3425509
Argentina,6/5/2021,Sinopharm/Beijing,3688658
Argentina,6/5/2021,Sputnik V,7613918
Argentina,6/6/2021,Oxford/AstraZeneca,3613394
Argentina,6/6/2021,Sinopharm/Beijing,3690692
Argentina,6/6/2021,Sputnik V,7641362
Argentina,6/7/2021,Oxford/AstraZeneca,3892836
Argentina,6/7/2021,Sinopharm/Beijing,3700050
Argentina,6/7/2021,Sputnik V,7705750
Argentina,6/8/2021,Oxford/AstraZeneca,4170299
Argentina,6/8/2021,Sinopharm/Beijing,3708157
Argentina,6/8/2021,Sputnik V,7790122
Argentina,6/9/2021,Moderna,63
Argentina,6/9/2021,Oxford/AstraZeneca,4429356
Argentina,6/9/2021,Pfizer/BioNTech,32
Argentina,6/9/2021,Sinopharm/Beijing,3714951
Argentina,6/9/2021,Sputnik V,7896657
Argentina,6/10/2021,Oxford/AstraZeneca,4653267
Argentina,6/10/2021,Sinopharm/Beijing,3720993
Argentina,6/10/2021,Sputnik V,8001791
Argentina,6/11/2021,Oxford/AstraZeneca,4837459
Argentina,6/11/2021,Sinopharm/Beijing,3731723
Argentina,6/11/2021,Sputnik V,8173685
Argentina,6/12/2021,Oxford/AstraZeneca,4903448
Argentina,6/12/2021,Sinopharm/Beijing,3743804
Argentina,6/12/2021,Sputnik V,8280710
Argentina,6/13/2021,Oxford/AstraZeneca,4948103
Argentina,6/13/2021,Sinopharm/Beijing,3745627
Argentina,6/13/2021,Sputnik V,8316907
Argentina,6/14/2021,Oxford/AstraZeneca,5074943
Argentina,6/14/2021,Sinopharm/Beijing,3756265
Argentina,6/14/2021,Sputnik V,8417415
Argentina,6/15/2021,Oxford/AstraZeneca,5204282
Argentina,6/15/2021,Sinopharm/Beijing,3762048
Argentina,6/15/2021,Sputnik V,8540159
Argentina,6/16/2021,Oxford/AstraZeneca,5390019
Argentina,6/16/2021,Sinopharm/Beijing,3766854
Argentina,6/16/2021,Sputnik V,8636761
Argentina,6/17/2021,Oxford/AstraZeneca,5619150
Argentina,6/17/2021,Sinopharm/Beijing,3773183
Argentina,6/17/2021,Sputnik V,8715719
Argentina,6/18/2021,Moderna,64
Argentina,6/18/2021,Oxford/AstraZeneca,5943898
Argentina,6/18/2021,Pfizer/BioNTech,35
Argentina,6/18/2021,Sinopharm/Beijing,3779083
Argentina,6/18/2021,Sputnik V,8784401
Argentina,6/19/2021,Oxford/AstraZeneca,6130427
Argentina,6/19/2021,Sinopharm/Beijing,3781651
Argentina,6/19/2021,Sputnik V,8827908
Argentina,6/20/2021,Oxford/AstraZeneca,6208383
Argentina,6/20/2021,Sinopharm/Beijing,3781944
Argentina,6/20/2021,Sputnik V,8848874
Argentina,6/21/2021,Oxford/AstraZeneca,6346691
Argentina,6/21/2021,Sinopharm/Beijing,3783238
Argentina,6/21/2021,Sputnik V,8878984
Argentina,6/22/2021,Oxford/AstraZeneca,6574178
Argentina,6/22/2021,Pfizer/BioNTech,36
Argentina,6/22/2021,Sinopharm/Beijing,3789188
Argentina,6/22/2021,Sputnik V,8933438
Argentina,6/23/2021,Oxford/AstraZeneca,6768004
Argentina,6/23/2021,Sinopharm/Beijing,3813533
Argentina,6/23/2021,Sputnik V,8978434
Argentina,6/24/2021,Oxford/AstraZeneca,6943141
Argentina,6/24/2021,Sinopharm/Beijing,3886691
Argentina,6/24/2021,Sputnik V,9034683
Argentina,6/25/2021,CanSino,8
Argentina,6/25/2021,Oxford/AstraZeneca,7162757
Argentina,6/25/2021,Pfizer/BioNTech,38
Argentina,6/25/2021,Sinopharm/Beijing,3996543
Argentina,6/25/2021,Sputnik V,9082021
Argentina,6/26/2021,Oxford/AstraZeneca,7355954
Argentina,6/26/2021,Sinopharm/Beijing,4088250
Argentina,6/26/2021,Sputnik V,9113293
Argentina,6/27/2021,Oxford/AstraZeneca,7455183
